company_id,company_name,contact_person,industry
00000000-0000-0000-0001-000000000110,Lloyd Group,00000000-0000-0000-0000-000000000110,生技業
00000000-0000-0000-0001-000000000097,隆豐大飯店（北台君悅）資訊有限公司,00000000-0000-0000-0000-000000000097,科技業
00000000-0000-0000-0001-000000000128,David LLC,00000000-0000-0000-0000-000000000128,科技業
00000000-0000-0000-0001-000000000125,Cabrera-Richardson,00000000-0000-0000-0000-000000000125,生技業
00000000-0000-0000-0001-000000000106,Conley PLC,00000000-0000-0000-0000-000000000106,生技業
00000000-0000-0000-0001-000000000092,聯燁鋼鐵有限公司,00000000-0000-0000-0000-000000000092,科技業
00000000-0000-0000-0001-000000000082,台灣電信股份有限公司,00000000-0000-0000-0000-000000000082,生技業
00000000-0000-0000-0001-000000000124,碩華電腦股份有限公司,00000000-0000-0000-0000-000000000124,科技業
00000000-0000-0000-0001-000000000089,"Scott, Mckay and Mcdaniel",00000000-0000-0000-0000-000000000089,生技業
00000000-0000-0000-0001-000000000108,Burgess-Kelly,00000000-0000-0000-0000-000000000108,服務業
00000000-0000-0000-0001-000000000098,Johnson-Wood,00000000-0000-0000-0000-000000000098,生技業
00000000-0000-0000-0001-000000000101,"Conner, Li and Santiago",00000000-0000-0000-0000-000000000101,科技業
00000000-0000-0000-0001-000000000085,輝燁企業有限公司,00000000-0000-0000-0000-000000000085,生技業
00000000-0000-0000-0001-000000000123,Hughes Group,00000000-0000-0000-0000-000000000123,科技業
00000000-0000-0000-0001-000000000096,"Miller, Harrell and Reese",00000000-0000-0000-0000-000000000096,生技業
00000000-0000-0000-0001-000000000088,Vang-Schmidt,00000000-0000-0000-0000-000000000088,科技業
00000000-0000-0000-0001-000000000099,台灣鐵高股份有限公司,00000000-0000-0000-0000-000000000099,科技業
00000000-0000-0000-0001-000000000095,華中航空股份有限公司,00000000-0000-0000-0000-000000000095,生技業
00000000-0000-0000-0001-000000000130,台日積體電路,00000000-0000-0000-0000-000000000130,科技業
00000000-0000-0000-0001-000000000091,"Villegas, Cardenas and Austin",00000000-0000-0000-0000-000000000091,服務業
00000000-0000-0000-0001-000000000121,風微廣場股份有限公司,00000000-0000-0000-0000-000000000121,服務業
00000000-0000-0000-0001-000000000083,Watson-Avery,00000000-0000-0000-0000-000000000083,生技業
00000000-0000-0000-0001-000000000086,Chapman Inc,00000000-0000-0000-0000-000000000086,科技業
00000000-0000-0000-0001-000000000087,Schneider-Johnson,00000000-0000-0000-0000-000000000087,科技業
00000000-0000-0000-0001-000000000103,"Mitchell, Goodman and Cole",00000000-0000-0000-0000-000000000103,科技業
00000000-0000-0000-0001-000000000112,合作庫金商業銀行資訊有限公司,00000000-0000-0000-0000-000000000112,生技業
00000000-0000-0000-0001-000000000084,"Winters, Newman and Brown",00000000-0000-0000-0000-000000000084,生技業
00000000-0000-0000-0001-000000000104,Spencer-Garcia,00000000-0000-0000-0000-000000000104,服務業
00000000-0000-0000-0001-000000000107,台灣業糖資訊有限公司,00000000-0000-0000-0000-000000000107,科技業
00000000-0000-0000-0001-000000000105,"Brooks, Hughes and Miller",00000000-0000-0000-0000-000000000105,服務業
00000000-0000-0000-0001-000000000113,Watson-Hines,00000000-0000-0000-0000-000000000113,生技業
00000000-0000-0000-0001-000000000081,華聯電子有限公司,00000000-0000-0000-0000-000000000081,生技業
00000000-0000-0000-0001-000000000116,台灣印無品良股份有限公司,00000000-0000-0000-0000-000000000116,服務業
00000000-0000-0000-0001-000000000115,York-Joseph,00000000-0000-0000-0000-000000000115,科技業
00000000-0000-0000-0001-000000000109,Carter Inc,00000000-0000-0000-0000-000000000109,科技業
00000000-0000-0000-0001-000000000117,台灣雅萊（Y'ORÉAL）,00000000-0000-0000-0000-000000000117,科技業
00000000-0000-0000-0001-000000000114,Davies LLC,00000000-0000-0000-0000-000000000114,生技業
00000000-0000-0000-0001-000000000122,德汎資訊有限公司,00000000-0000-0000-0000-000000000122,科技業
00000000-0000-0000-0001-000000000090,華中郵政資訊有限公司,00000000-0000-0000-0000-000000000090,科技業
00000000-0000-0000-0001-000000000129,一統星巴克股份有限公司,00000000-0000-0000-0000-000000000129,服務業
00000000-0000-0000-0001-000000000094,Saunders LLC,00000000-0000-0000-0000-000000000094,服務業
00000000-0000-0000-0001-000000000126,Underwood and Sons,00000000-0000-0000-0000-000000000126,服務業
00000000-0000-0000-0001-000000000102,Romero PLC,00000000-0000-0000-0000-000000000102,服務業
00000000-0000-0000-0001-000000000119,"Gardner, May and Turner",00000000-0000-0000-0000-000000000119,生技業
00000000-0000-0000-0001-000000000120,"Travis, Reed and Ross",00000000-0000-0000-0000-000000000120,科技業
00000000-0000-0000-0001-000000000111,風微廣場,00000000-0000-0000-0000-000000000111,生技業
00000000-0000-0000-0001-000000000127,月日光半導體股份有限公司,00000000-0000-0000-0000-000000000127,科技業
00000000-0000-0000-0001-000000000118,平太洋崇光百貨,00000000-0000-0000-0000-000000000118,生技業
00000000-0000-0000-0001-000000000093,Stanley-Tucker,00000000-0000-0000-0000-000000000093,科技業
00000000-0000-0000-0001-000000000100,台灣印無品良股份有限公司,00000000-0000-0000-0000-000000000100,科技業
