department_id,department_name,contact_person
1010,中國文學系,00000000-0000-0000-0000-000000000001
1011,中國文學系國際學生學士班,00000000-0000-0000-0000-000000000002
1020,外國語文學系,00000000-0000-0000-0000-000000000003
1030,歷史學系,00000000-0000-0000-0000-000000000004
1040,哲學系,00000000-0000-0000-0000-000000000005
1050,人類學系,00000000-0000-0000-0000-000000000006
1060,圖書資訊學系,00000000-0000-0000-0000-000000000007
1070,日本語文學系,00000000-0000-0000-0000-000000000008
1090,戲劇學系,00000000-0000-0000-0000-000000000009
2010,數學系,00000000-0000-0000-0000-000000000010
2020,物理學系,00000000-0000-0000-0000-000000000011
2030,化學系,00000000-0000-0000-0000-000000000012
2040,地質科學系,00000000-0000-0000-0000-000000000013
2070,心理學系,00000000-0000-0000-0000-000000000014
2080,地理環境資源學系,00000000-0000-0000-0000-000000000015
2090,大氣科學系,00000000-0000-0000-0000-000000000016
3020,政治學系,00000000-0000-0000-0000-000000000017
3021,政治學系政治理論組,00000000-0000-0000-0000-000000000018
3022,政治學系國際關係組,00000000-0000-0000-0000-000000000019
3023,政治學系公共行政組,00000000-0000-0000-0000-000000000020
3030,經濟學系,00000000-0000-0000-0000-000000000021
3050,社會學系,00000000-0000-0000-0000-000000000022
30A0,社會科學院院學士學位,00000000-0000-0000-0000-000000000023
3100,社會工作學系,00000000-0000-0000-0000-000000000024
4010,醫學系,00000000-0000-0000-0000-000000000025
4020,牙醫學系,00000000-0000-0000-0000-000000000026
4030,藥學系,00000000-0000-0000-0000-000000000027
4031,藥學系,00000000-0000-0000-0000-000000000028
4040,醫學檢驗暨生物技術學系,00000000-0000-0000-0000-000000000029
4060,護理學系,00000000-0000-0000-0000-000000000030
4080,物理治療學系,00000000-0000-0000-0000-000000000031
4081,物理治療學系,00000000-0000-0000-0000-000000000032
4090,職能治療學系,00000000-0000-0000-0000-000000000033
40A0,醫學院院學士,00000000-0000-0000-0000-000000000034
4120,學士後護理學系,00000000-0000-0000-0000-000000000035
5010,土木工程學系,00000000-0000-0000-0000-000000000036
5020,機械工程學系,00000000-0000-0000-0000-000000000037
5040,化學工程學系,00000000-0000-0000-0000-000000000038
5050,工程科學及海洋工程學系,00000000-0000-0000-0000-000000000039
5070,材料科學與工程學系,00000000-0000-0000-0000-000000000040
5080,醫學工程學系,00000000-0000-0000-0000-000000000041
5090,智慧工程科技全英語學士學位學程,00000000-0000-0000-0000-000000000042
50A0,工學院院學士,00000000-0000-0000-0000-000000000043
6010,農藝學系,00000000-0000-0000-0000-000000000044
6020,生物環境系統工程學系,00000000-0000-0000-0000-000000000045
6030,農業化學系,00000000-0000-0000-0000-000000000046
6050,森林環境暨資源學系,00000000-0000-0000-0000-000000000047
6060,動物科學技術學系,00000000-0000-0000-0000-000000000048
6070,農業經濟學系,00000000-0000-0000-0000-000000000049
6080,園藝暨景觀學系,00000000-0000-0000-0000-000000000050
6090,獸醫學系,00000000-0000-0000-0000-000000000051
60A0,生物資源暨農學院院學士,00000000-0000-0000-0000-000000000052
6100,生物產業傳播暨發展學系,00000000-0000-0000-0000-000000000053
6110,生物機電工程學系,00000000-0000-0000-0000-000000000054
6120,昆蟲學系,00000000-0000-0000-0000-000000000055
6130,植物病理與微生物學系,00000000-0000-0000-0000-000000000056
6150,生物科技與食品營養學士學位學程,00000000-0000-0000-0000-000000000057
7010,工商管理學系,00000000-0000-0000-0000-000000000058
7011,工商管理學系企業管理組,00000000-0000-0000-0000-000000000059
7012,工商管理學系科技管理組,00000000-0000-0000-0000-000000000060
7020,會計學系,00000000-0000-0000-0000-000000000061
7030,財務金融學系,00000000-0000-0000-0000-000000000062
7040,國際企業學系,00000000-0000-0000-0000-000000000063
7050,資訊管理學系,00000000-0000-0000-0000-000000000064
7060,企業管理學系,00000000-0000-0000-0000-000000000065
8010,公共衛生學系,00000000-0000-0000-0000-000000000066
9010,電機工程學系,00000000-0000-0000-0000-000000000067
9020,資訊工程學系,00000000-0000-0000-0000-000000000068
A011,法律學系法學組,00000000-0000-0000-0000-000000000069
A012,法律學系司法組,00000000-0000-0000-0000-000000000070
A013,法律學系財經法學組,00000000-0000-0000-0000-000000000071
B010,生命科學系,00000000-0000-0000-0000-000000000072
B020,生化科技學系,00000000-0000-0000-0000-000000000073
B0A0,生命科學院院學士,00000000-0000-0000-0000-000000000074
H040,國際體育運動事務學士學位學程,00000000-0000-0000-0000-000000000075
H050,校學士,00000000-0000-0000-0000-000000000076
H060,國際半導體學士學位學程,00000000-0000-0000-0000-000000000077
O010,國際事務處,00000000-0000-0000-0000-000000000078
O020,國際學院,00000000-0000-0000-0000-000000000079
Z010,創新領域學士學位學程,00000000-0000-0000-0000-000000000080
